   Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
   1,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/1,testovaci issue,Closed,asi to jde,Rysanek Karel,rysanek_cgi,,,No,No,,2020-05-25 13:27:12,2020-10-05 09:58:27,2020-06-04 12:28:26,,,,0,0
   2,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/2,zmena poradi v prehledu zmeni pouze poradi v hlavicce,Closed,"Zmena poradi poli v tabulkovem vypisu zmeni poradi pouze  hlavicce. Mozna to souvisi s tim, ze nektera pole nejsou zobrazena (visibility=0)",Rysanek Karel,rysanek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-07-31 11:13:12,2020-09-14 17:22:56,2020-09-14 17:22:56,,,,0,0
   3,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/3,Nevidim vyvtvorene menu ve vrstve  1800020 PDMD,Closed,Menu TPI administrace podmenu PI users a TPI role neni videt. Nedari mi ani vytvorit toto menu znova.,Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-08-19 15:12:07,2020-08-19 17:48:32,2020-08-19 17:48:32,,,,0,0
   4,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/4,Volba z ciselniku otevre editaci ciselniku ale nikoliv volbu z ciselniku,Closed,Viz [misto_volby-editace-ciselniku.mkv](/uploads/14f38066c9a38861f69bf4762c13196b/misto_volby-editace-ciselniku.mkv) - zaznam obrazovky.,Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-08-19 18:26:24,2020-08-21 13:16:04,2020-08-21 13:16:04,,,,0,0
   5,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/5,Přidání dalšího závislého záznamu pomocí plus tlacitka geneneruje error code 903,Closed,Viz [pridani-zaznamu-viaplustlacito-error.mkv](/uploads/02f7f7ccf0651b7f64fe32021eecbca5/pridani-zaznamu-viaplustlacito-error.mkv) prilozený záznam.,Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-08-19 18:32:58,2020-09-01 15:39:07,2020-09-01 15:37:47,,,,0,0
   6,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/6,V titulku pomocnych aplikaci cislo verze,Closed,"Bylo by fajn a jistě by zamezilo omylům při spouštění poocných aplikaci (Objec editor, Service selector, mWF editor atd.), kdyby v titulku aplikačního okna byl krom názvu aplikace též jeji verze.",Rysanek Karel,rysanek_cgi,Rysanek Karel,rysanek_cgi,No,No,,2020-08-27 14:47:10,2020-09-30 08:47:06,2020-09-30 08:47:06,,,"In Review,Low",0,0
   7,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/7,JSON - pro potřeby Report Enginu,Closed,Specifikace JSON pro potřeby Report Enginu,Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-08-28 12:14:02,2020-09-04 11:09:09,2020-09-04 11:09:09,,,,0,0
   8,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/8,v tabulkách s cizím klíčem se objevují zrušené záznamy (příznak zrušeno=1),Closed,Viz prilozeny zaznam.[cizi_kliic_ukazuje_na_zrusene_zaznamy.mkv](/uploads/b8cf1f2a44dcc0507e6702573b48241e/cizi_kliic_ukazuje_na_zrusene_zaznamy.mkv),Rysanek Karel,rysanek_cgi,Sklenarova Pavla,sklenarova_cgi,No,No,,2020-09-01 16:00:58,2020-10-19 16:43:29,2020-10-19 16:43:29,Release 1.1,,"In Review,Medium",0,0
   9,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/9,Nefunkční odkazy v detailu Aktivum přístup,Closed,"Pokud na detailu nově vytvořeného aktiva kliknu na aktivum ID, objeví se chybová hláška DB Error - cod 932 - null. Pokud kliknu na jiný link obrazovky, objeví se chybová hláška Difference between m_pf.sequence new and old not equals to 1! - null.   Pokud však jako první rozkliknu jinou položku, ty se mi normálně zobrazí. Prosím o prověření položky Aktivum_ID.   Viz záznamy.[Aktivum_ID_jako_první.mkv](/uploads/4c7af44c3555daae658f1c7f21b97c5d/Aktivum_ID_jako_první.mkv)      [ostatní_linky.mkv](/uploads/64082c68ec64ea4ec3817fbaf0e8b264/ostatní_linky.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-02 16:24:40,2020-09-14 17:28:01,2020-09-14 17:28:01,,,,0,0
   10,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/10,Delegování - nefunkční tlačítko plus - Error in MAKRO - null,Closed,"Chci přidat na uživateli delegaci role tlačítkem plus, objeví se mi chyba Error in MAKRO-null.![nelze_přidat_delegování](/uploads/fb320ad198eeb4ba6795fb12c6667a00/nelze_přidat_delegování.png)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-03 11:28:21,2020-09-21 14:56:25,2020-09-21 14:56:25,,,,0,0
