   Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
   8,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/8,v tabulkách s cizím klíčem se objevují zrušené záznamy (příznak zrušeno=1),Open,Viz prilozeny zaznam.[cizi_kliic_ukazuje_na_zrusene_zaznamy.mkv](/uploads/b8cf1f2a44dcc0507e6702573b48241e/cizi_kliic_ukazuje_na_zrusene_zaznamy.mkv),Rysanek Karel,rysanek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-01 16:00:58,2020-10-07 14:45:39,,,,"In Scope,Medium,bug",0,0
   12,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/12,Nefunkční dvojklik na řádku pro přidání organizační role,Open,"Kroky:   detail uživatele   záložka Organizační role   klik na tlačítko plus - přidá se řádek pro editaci/vytvoření nové organizační role   dvojklik na řádku pro editaci/vytvoření nové organizační role -->neotevře se editační okno      Přikládám záznam.[nefunkční_dvojklik.mkv](/uploads/79b6a80eedf3e7051f79f3e6b6b2d6fb/nefunkční_dvojklik.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-04 10:30:02,2020-09-25 15:43:25,,,,"Low,feature",0,0
   16,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/16,Návrh přepínače pro zapnutí/vypnutí uplatňování omezení security frameworku,Open,"Doby, než bude funkcionalita řízení přístupu pomocí security framework odladěna by se mohla hodit funkce vypínání/zapínání celého nebo některých částí sec fwk v jádře tak, aby případné chyby v nastavení nebo implementaci nebránili ostatním v práci.      Necháváme na vážení týmu jádra, zda a jak bude tato funkcionalita implementována.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-08 14:44:49,2020-10-07 17:00:41,,,,"In Scope,Medium,feature",0,0
   18,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/18,"Ověřit a zdokumentovat ""debug"" mod",Open,"Pro implementaci test engine bychom potřebovali ověřit, že v jádře existuje a je zapnut debug mod.   POdle aktuálních informací by měl být zapnutý.   Potřeboavli bycho dokumentaci, jak k uloženým debug datům přistupovat z procesů test engine.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,2020-09-29,2020-09-08 14:48:57,2020-10-07 15:02:08,,,,"High,In Progress,documentation",0,0
   19,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/19,Rozšířit funkci debug modu o zaznamenávání komunkace mezi BE a UI,Open,"Pro zohlednění uživatelské interakce v testech spouštěných test engine potřebujeme rozšířit zachytávané údaje také o JSON data, která putují mezi jádrem a front endem.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,2020-10-05,2020-09-08 14:50:52,2020-09-25 15:25:56,,,,"In Scope,Medium,feature",0,0
   20,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/20,Autentizace na integračním rozhraní,Open,"Pro integraci IDM potřebujeme podle testovacích scénářů prezentovat také zabezpečení přístupu k rozhraní.      Bude jádro podporovat tento typ zabezpečení rozhraní, nebo bude nutné implementovat ho v secfwk?         V dokumentaci integrace IDM je popsáno následující přihlášení:      ### Metoda přihlášení   předpokládá existenci systémového účtu pouze pro využití IDM, čili username a zahashované heslo.      `LogOn (username(idm),heslo(6e017b5464f820a6c1bb5e9f6d711a667a80d8ea))`      jako návratová hodnota je usertoken, se kterým nadále systém pracuje. Metoda LogOn vytváří připojené vlákno až do jeho odpojení (LogOff), nebo vypršení timeout při nečinnosti. Po úspěšném přihlášení metodou LogOn je na serveru založen unikátní objekt s informací o uživateli (usertoken), který má omezenou dobu platnosti při nečinnosti. Standardní doba je 300 vteřin, může se však měnit v závislosti na konfiguraci systému, a to hodnotou SessionTimeout.      ### Metoda odhlášení   `LogOf (usertoken (y3ui9y7gtnhlvu5y9fzfzjkuf7saldwjfr3op06iw)`      Ukončuje připojené vlákno dle usertoken.            ### Metoda akce, procesu   `Procesxml(usertoken,xml)`      kde usertoken je autentizace a xml je zpráva, kde na základě jejího obsahu se vykonají určité akce.",Rasek Ludek,rasek_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-08 14:59:33,2020-09-25 14:58:17,,,,"In Scope,Medium,documentation",0,0
   21,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/21,json pro standardní reporty - reálný vzorek dat ze systému,Open,"na posledním jednání báze-cgi jsme se dohodli na tom, že báze dodá vygenerovaný json ze systému v dohodnuté struktuře s daty (např. z faktury)",Krikava Pavel,krikava_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-14 16:03:06,2020-10-07 14:40:04,,,,"High,In Progress,documentation",0,0
   22,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/22,Binární rozhraní pro integraci C++ funkcí security frameworku do jádra,Open,"Existuje sada funkcí, které security framework poskytuje. **Navrhujeme pro tyto funkce používat přímé binární rozhraní C++ DLL.      Přikládáme ukázku (bude  [security.h](/uploads/0665294c2d8d9e9d0349d7e78cd86f7e/security.h).      Bude nutno dodržet následující omezení:   * dll musi zdielat libc s core (kvoli memory managementu a vynimkam), t.j. oba dynamicky linkuju stejnu libc knihovnu   * dll musi byt kompilovana stejnym kompilatorom ako core   * kompilator aj libc musi podporovat c++17 standard (co uz davno MSVC ma, takze ziaden problem)      Navrhujeme ciste C++ API, nakolko core aj nasa libka je v C++ a je rozumne predpokladat, ze tomu tak bude vzdy, Preto si to mozme dovolit a prinesie to ciste API. Princip fungovania: core nacte dll a zavola tpiframework::getSecurityFramework(configuration), dostane pointer na triedu tpiframework::Securityktora ma definovane prislusne funkcie.",Rasek Ludek,rasek_cgi,Adrian Hideghethy,hideghethy_goodatit,No,No,,2020-09-16 13:02:45,2020-10-07 14:36:42,,,,"High,In Progress,documentation",0,0
   24,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/24,Nelogičnost při prokliku na cizí klíč - zobrazí se místo číselníku tabulka cizího klíče,Open,"1. v kolonce s cizím klíčem smažu původní hodnotu, dalším dvojklikem v kolonce se mi zobrazí příslušný číselník - OK   2. v kolonce s cizím klíčem rovnou dvakrát kliknu na hodnotu - místo číselníku se mi zobrazí tabulka s cizím klíčem - Chyba      Prosím o prověření a případné narovnání této nelogičnosti.   testováno na hodnotě vyloučení v detailu aplikační role (zobrazila se tabulka M_ROLE) a na poli stav v detailu uživatele (zobrazila se tabulka (R_DELEGOVANI_PODMINKA).      Přikládám záznam.[EDITACE_VYLOUČENÍ.mkv](/uploads/bc12a0a7919e1b57bd7e7d872149b217/EDITACE_VYLOUČENÍ.mkv)",Sklenarova Pavla,sklenarova_cgi,Kubala Milan,kubala_cdt,No,No,,2020-09-16 15:07:00,2020-09-22 17:46:24,,,,"Low,feature",0,0
   25,https://gitlab.cdt.cz/tpi/cgi/issues/-/issues/25,Doplnění tabulky aktiv,Open,"Prosím o doplnění chybějících údajů u tabulky aktiv (https://gitlab.cdt.cz/tpi/dokumentace/-/wikis/Security-Framework-Aktiva-prehled) a o doplnění základních scénářů pro testování, abych mohla napsat podrobný testovací scénář.   Přikládám verzi s návrhy možných základních testovacích scénářů.   [AS28_SF_Aktiva-PL-20200916.xlsx](/uploads/32157e1548873301797a8873954e688e/AS28_SF_Aktiva-PL-20200916.xlsx)   Edit:   Přikládám soubor se zvýrazněnými poli pro doplnění (oranžová barva): [AS28_SF_Aktiva-PL-20201012.xlsx](/uploads/5cdb9a06489e9f0e57c431202e2a1252/AS28_SF_Aktiva-PL-20201012.xlsx)",Sklenarova Pavla,sklenarova_cgi,Peter Lipovsky,lipovsky_goodatit,No,No,,2020-09-16 15:39:44,2020-10-12 09:06:06,,,,"In Scope,Medium,documentation",0,0
